SABR.io,https://angel.co/sabr-io,Palantir for the blockchain,113,Jul ’15
Filament,https://angel.co/filamenthq,A secure foundation for the industrial internet,752,Apr ’13
Airfox,https://angel.co/airfox,Bringing financial services to the unbanked,111,Feb ’16
LeadIQ,https://angel.co/leadiq,More Deals. Less Work.,942,Mar ’15
Gem,https://angel.co/gem,All-in-one cryptocurrency platform,437,Feb ’14
Korbit,https://angel.co/korbit,Korean bitcoin exchange & global payments network,216,Dec ’13
UFOstart,https://angel.co/ufostart,Crowdsourcing lean startups with investors and experts and customers.,86,May ’13
PROPS by YouNow,https://angel.co/younow,A decentralized ecosystem of video applications,183,Jan ’13
Chain,https://angel.co/chain-com,Ledger infrastructure for modern applications,643,Oct ’14
SpringRole,https://angel.co/springrole,Professional Network on the blockchain,395,Feb ’15
Ripple,https://angel.co/ripple-labs,"Instant, certain, low-cost cross-border payments.",698,Oct ’13
BlockCypher,https://angel.co/blockcypher,Amazon Web Services for block chains,412,May ’14
Blockstream,https://angel.co/blockstream,"Global Leader in Bitcoin & blockchain technology, reducing reliance on trust.",484,Sep ’14
Vault12,https://angel.co/vault12,"Distributed, decentralized and serverless digital custody for all your cryptocurrency.",216,Nov ’14
Blockstack,https://angel.co/blockstack,The easiest way to build decentralized apps that can scale.,780,Sep ’13
NuCypher,https://angel.co/nucypher,Proxy Re-Encryption for Distributed Systems,68,Aug ’14
Purse,https://angel.co/purse,Making Crypto Useful,564,Mar ’14
PayStand,https://angel.co/paystand,"B2B Billing & Payment Software (SaaS model, blockchain tech)",141,Jul ’13
Chroma,https://angel.co/chroma,A blockchain-powered securities exchange for the small business economy,127,Apr ’13
Tealet,https://angel.co/tealet,B2B Marketplace for Agriculture Commodities,285,Jul ’12
SmartContract,https://angel.co/smartcontract,Connecting Smart Contracts to the World's Traditional Data and Financial Infrastructure.,102,Dec ’14
SENSE | sense.chat,https://angel.co/sensay,Blockchain Powered Messaging Platform,297,Mar ’14
Skry (acquired by Bloq),https://angel.co/skry,Blockchain Intelligence,310,Nov ’13
Secure Asset Exchange,https://angel.co/secure-asset-exchange,Secure web-layer for fully P2P decentralized exchange.,89,Jun ’14
Polychain Capital,https://angel.co/polychain-capital,Cryptocurrency hedge fund,1023,Aug ’16
ShoCard,https://angel.co/shocard,Identity For A Mobile World,70,Feb ’15
Paxos,https://angel.co/paxos,Blockchain technology solutions for global financial institutions,181,Jul ’14
